Date,Hour,Price (€/MWh),Baseload,Peakload
2025-06-15,00 - 01,51.35,17.44,2.61
2025-06-15,01 - 02,28.31,17.44,2.61
2025-06-15,02 - 03,26.87,17.44,2.61
2025-06-15,03 - 04,21.88,17.44,2.61
2025-06-15,04 - 05,18.78,17.44,2.61
2025-06-15,05 - 06,17.86,17.44,2.61
2025-06-15,06 - 07,18.47,17.44,2.61
2025-06-15,07 - 08,15.13,17.44,2.61
2025-06-15,08 - 09,8.97,17.44,2.61
2025-06-15,09 - 10,4.55,17.44,2.61
2025-06-15,10 - 11,0.0,17.44,2.61
2025-06-15,11 - 12,-0.02,17.44,2.61
2025-06-15,12 - 13,-1.21,17.44,2.61
2025-06-15,13 - 14,-5.6,17.44,2.61
2025-06-15,14 - 15,-5.0,17.44,2.61
2025-06-15,15 - 16,-2.0,17.44,2.61
2025-06-15,16 - 17,-0.01,17.44,2.61
2025-06-15,17 - 18,-0.01,17.44,2.61
2025-06-15,18 - 19,12.37,17.44,2.61
2025-06-15,19 - 20,19.29,17.44,2.61
2025-06-15,20 - 21,33.96,17.44,2.61
2025-06-15,21 - 22,39.96,17.44,2.61
2025-06-15,22 - 23,61.7,17.44,2.61
2025-06-15,23 - 24,53.03,17.44,2.61


